dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location
2.8364198576039805,85.28666666666666,0.006666666666666667,"(-2.495346553044155, -4.722210347407389)","(-4.8, -1.6999999999999993)",136.0,362.76555555555575,522.6629040087055,2.578508758699161,"(-2.3, -2.8)"
3.6938968903937854,420.42,0.0,"(-6.22250428770573, -0.23259386397715276)","(5.75, -1.549999999999999)",669.0,35641.62115555555,2349.543373412224,12.796944226635585,"(-5.6499999999999995, 1.3500000000000014)"
1.1456162077717331,77.0,0.09999999999999998,"(7.299642625659711, -2.083882340225791)","(5.850000000000001, 0.25)",79.0,686.1491555555557,782.5757301422127,0.0,"(7.199999999999999, -1.0)"
1.0940673787934847,93.0,0.09999999999999998,"(-5.941295049293036, -6.042821697963681)","(-4.6, -4.949999999999999)",94.0,401.1806222222222,196.6140349890751,0.0,"(-6.8, -5.5)"
6.44493519245345,94.65333333333334,0.0033333333333333327,"(4.857503602589103, -2.5453873687987514)","(-1.799999999999999, -1.3499999999999996)",508.0,3027.9109333333336,373.23431279486175,9.624895957222613,"(6.600000000000001, -3.25)"
2.6627040138518328,104.41333333333333,0.0006666666666666668,"(0.39172008383937595, -5.787120293278827)","(4.850000000000001, -3.25)",228.0,372.02382222222224,125.54842091586669,21.874146797084254,"(-0.5999999999999996, -5.0)"
12.0959301564415,123.85333333333334,0.0,"(0.4167729997050884, -2.3768235179422925)","(7.0, 3.8500000000000014)",1515.0,0.006622222222222224,3583.5952047588776,6.713116883116883,"(-1.4499999999999993, -2.4499999999999993)"
7.202618024066951,62.7,0.0,"(3.3777834001218583, -2.4127786567660783)","(-5.0, -4.199999999999999)",398.0,1416.8338222222226,126.67235783696968,4.1937452548472,"(4.550000000000001, -2.0)"
1.2357436264168296,618.0,0.09999999999999998,"(6.151304356650579, 1.0699313174772012)","(-6.25, -5.85)",625.0,5302.886266666666,1139.7487908281835,21.573515562066593,"(5.850000000000001, 2.3000000000000007)"
3.006263111224164,56.17333333333333,0.006,"(4.907976087924779, -4.3086582565563925)","(5.4, -0.4499999999999993)",179.0,2461.3539555555553,619.4856266318237,33.94137947776857,"(4.15, -3.6499999999999995)"
