goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location,picked_0,picked_1,picked_2,picked_3,picked_4,picked_5,picked_6,picked_7,picked_8,picked_9
"(4.423000000000001, -0.8520000000000003)","[(-3.2192446539574138, -4.72098852763523)]","[(-4.073626038954298, -4.974890912427667)]","[(-3.473556412721183, -3.8315559997667434)]","[(-3.7244635768698067, -4.139697821828799)]","[(-2.3730040346118173, -4.3243614983996075)]","[(-2.8486308364054693, -3.944746909662719)]","[(-4.107891537968179, -4.318199495349323)]","[(-2.9294064081677043, -3.325382049616274)]","[(-3.776464428854136, -4.126466823194302)]","[(-3.2206449930513164, -4.590530287045642)]","[(-3.3972297176673836, -4.474932267329143)]","[(-2.5098476557235716, -4.257783620590761)]","[(-3.332607549831112, -4.43496437710512)]","[(-3.276482616842967, -4.029483553295729)]","[(-2.4595515092575058, -3.576650666876308)]","[(-2.1543042283777942, -3.8704360107001774)]","[(-3.325013856462122, -4.345335548314253)]","[(-4.165830418145411, -4.348232606324171)]","[(-2.9858639065240333, -4.207353989623232)]","[(-2.1641671758309355, -4.351288625776193)]","(-2.0269999999999997, -3.9520000000000004)",True,True,True,True,True,True,True,True,True,True
"(2.2230000000000008, -3.7520000000000002)","[(-0.19860290090997634, 0.3480928946950319)]","[(-1.6582393375005815, 0.35380783133976246)]","[(-0.8585046806378905, 1.3138617003629913)]","[(-1.5422750511641523, 1.319394693410033)]","[(-1.1197879339552768, 1.077355869747735)]","[(-1.0949492583806308, -0.08913367445501441)]","[(-0.5634573820839268, 1.0673184691144153)]","[(-1.6901615607952265, 0.4941346368123012)]","[(-1.1530564593344885, 0.5793552329514664)]","[(-1.2315468627467456, 0.2274234478925068)]","[(-0.8395752927165848, 0.19338571329969423)]","[(-1.1190696324237193, 1.456185421599165)]","[(-0.8289167842974882, 1.167199488736261)]","[(-1.584346835579203, 1.815480880404019)]","[(-0.6689012896278235, 0.7265564182908865)]","[(-0.5397104585238449, 1.2095809931841899)]","[(-1.643449947224188, 0.7722038095993466)]","[(-1.647522953745723, 1.3276048862065408)]","[(-1.313526303404994, 0.19536643660549335)]","[(-1.9126850380944154, 1.5903985510284446)]","(-0.4269999999999996, 1.4980000000000002)",True,True,True,True,True,True,True,True,True,True
"(-3.2269999999999994, -0.0519999999999996)","[(-2.544477307397759, -5.1062601794138835)]","[(-2.437395347234657, -4.941865015681713)]","[(-1.8808611886800666, -5.926003357190474)]","[(-2.413132504498237, -4.8779484107334135)]","[(-1.7838031024383438, -4.4375444842451435)]","[(-2.1394007911934683, -5.029638765635538)]","[(-2.4094633842970143, -4.647243331616752)]","[(-3.151811818807901, -4.776668156133115)]","[(-2.9475504732625044, -4.354460430848512)]","[(-2.5423321731937385, -4.99953651892045)]","[(-2.4908824066530917, -4.234568856159225)]","[(-3.3413083391576555, -4.232212409846026)]","[(-2.7370127650419978, -5.321083714728153)]","[(-2.14709756881304, -4.4943824507018295)]","[(-3.44553901784175, -3.607974145339452)]","[(-3.2760402805906788, -4.635263673541431)]","[(-2.5556202411919853, -4.495362752512365)]","[(-1.8454221616022637, -4.158739486877515)]","[(-2.957492091760676, -5.341853427805584)]","[(-2.772615765819907, -5.226137760359069)]","(-2.9269999999999996, -3.5020000000000002)",True,True,True,True,True,True,True,True,True,True
"(1.1230000000000002, -2.902)","[(2.086891899714806, -4.5485715015052754)]","[(2.3191574670266637, -3.4141074331626102)]","[(1.9734621686643354, -3.0563923688706196)]","[(1.8356620250357862, -2.6679985253354945)]","[(1.3902909682116902, -4.61600650568921)]","[(1.9918179562865153, -3.586527594253363)]","[(1.7190536967605001, -3.0395453471240153)]","[(2.6069348142831785, -3.84153167316936)]","[(2.3817130076604323, -3.561574718186157)]","[(0.9596780240181733, -2.600122591953534)]","[(1.7844203240025862, -3.2737005811997553)]","[(2.500253706916858, -3.684814763753045)]","[(1.9137110555826533, -4.610132350778866)]","[(1.4258789896071355, -3.803664389656916)]","[(1.5327770044182802, -3.849193076485569)]","[(1.4534186725437739, -4.136369447892014)]","[(2.520752679149612, -3.736018026002518)]","[(2.2698668381740807, -4.068097561020448)]","[(3.0060143618872166, -3.70352626834815)]","[(1.6295910865431085, -4.126849474240131)]","(1.0230000000000006, -2.202)",True,True,True,True,True,True,True,True,True,True
"(0.8730000000000002, -2.902)","[(4.06331295334973, -1.360098452476162)]","[(4.449389094850866, -0.9557608149165668)]","[(4.3822634339121835, -1.0921084725242718)]","[(4.2663658586888396, -1.0690383145974731)]","[(4.603176073581067, -1.8721803297819264)]","[(4.379666928842029, -1.028830757166093)]","[(4.328941363155107, -1.6821372646869963)]","[(4.256996639246178, -1.355193001950921)]","[(4.050727719371278, -1.7688703008416937)]","[(3.7028960429683373, -1.4922344844763382)]","[(4.8341641383362415, -1.01969944309365)]","[(3.439113169160169, -1.3011514177529813)]","[(4.5735819384053045, -1.988266061777641)]","[(4.179582615732783, -1.5116616015669724)]","[(3.6556708591117304, -1.8066074089914281)]","[(3.974915578131605, -1.3700781463868674)]","[(3.7906749413637746, -1.5729869798368676)]","[(3.78119476310515, -1.664923521626375)]","[(3.4040198054425375, -0.9393580084627409)]","[(4.082462179837651, -1.7429876717189345)]","(3.2730000000000006, -2.002)",True,True,True,True,True,True,True,True,True,True
"(0.3730000000000002, 2.3979999999999997)","[(-3.135885598173413, 0.5415239407245801)]","[(-3.1447218602974347, 0.7352678731173342)]","[(-2.9588308124813523, 0.4254578128466926)]","[(-2.791278098551987, 0.4132019214509291)]","[(-3.6815824593195043, 1.4414561974025004)]","[(-2.8155268491663388, 1.0772897758005031)]","[(-2.928217565716003, 1.0665951912634515)]","[(-3.766696468744074, 0.14825886897189655)]","[(-3.26995106986648, 0.3167635158812583)]","[(-3.7659572158572545, 0.630952478973576)]","[(-4.69585623258126, -0.016330470857856105)]","[(-3.79879496692306, 1.1098324522930918)]","[(-4.3668913148874635, 0.11359664783000045)]","[(-2.7985127938556347, 0.6260188468827785)]","[(-3.3259491067022635, 0.7640086100237345)]","[(-2.7996853565512394, 0.6995306210767929)]","[(-2.6447788987689753, 0.2903198864480767)]","[(-2.791278098551987, 0.4132019214509291)]","[(-3.26995106986648, 0.3167635158812583)]","[(-3.042162861576259, 0.607240487812674)]","(-3.2769999999999997, -0.7519999999999998)",True,True,True,True,True,True,True,True,True,True
"(4.723000000000002, 1.9979999999999993)","[(-3.5543372972115295, -0.5347573592294145)]","[(-2.1413349480218034, 0.1971581079432421)]","[(-3.106947749019827, 0.408177412185903)]","[(-1.5287454820461073, -0.0031996399824206767)]","[(-2.513986332789682, -0.5044098899733994)]","[(-1.8357043165782905, 0.04650259413590008)]","[(-2.684096549300387, -0.013467425635166286)]","[(-3.0430176401279008, 0.4430997852438847)]","[(-1.7076314718702381, 0.962159919936774)]","[(-3.1165768621199366, 0.7003348980623735)]","[(-2.3804013325547775, 0.4831680188727949)]","[(-2.524079534880923, 0.1071128509686502)]","[(-2.421381748976081, -0.054502477289319506)]","[(-2.309509749575834, 0.3998779473622388)]","[(-0.899186249537842, -0.2803030068978606)]","[(-2.3854763770818055, 0.4120425318793074)]","[(-2.2033309284806513, -0.19289176807859437)]","[(-2.1953364984039445, 0.5199764885057473)]","[(-2.7391898853233263, 0.3955162595713575)]","[(-2.7622253808900856, 0.6126859509072415)]","(-0.827, 0.4980000000000002)",True,True,True,True,True,True,True,True,True,True
"(4.623, -4.602)","[(2.946417222750903, -0.15702027069535116)]","[(2.316607263009321, -0.5407395433042248)]","[(2.1963167670300723, 0.17730786255454753)]","[(1.6567974704216493, -1.034014645104929)]","[(2.5436578874968654, -0.09768182396925898)]","[(2.2135736633420295, 0.29351208015990704)]","[(2.7551367697736664, 0.2429195967142778)]","[(1.9135895042927944, 0.3983704002816444)]","[(2.1915546722587385, -0.07186098265507355)]","[(1.5645070296390464, 0.6626160868012164)]","[(2.3040957482657958, 0.23368117386356904)]","[(2.5809124370314227, 0.011065928247394052)]","[(2.2160431344042673, 0.4796360946421282)]","[(1.788669122811963, -0.6143513670804016)]","[(2.2717656807643154, 0.6808108054091944)]","[(2.037540733756241, -0.746539935964045)]","[(2.5657735586773835, -0.04285223019328957)]","[(1.5502721887606714, -1.098774775171138)]","[(1.923184158731391, -0.7208354671753062)]","[(1.8401045490242351, -0.8340815877299635)]","(1.7230000000000008, 0.8979999999999997)",True,True,True,True,True,True,True,True,True,True
"(-4.127, -1.702)","[(3.515056745275945, 0.7905615530028962)]","[(2.4061629909297877, -0.7839976992792568)]","[(2.1112080631223447, 1.3160846261949741)]","[(2.426639622736212, 0.5861202152080507)]","[(2.7059205907103037, 0.6050079073548268)]","[(3.0280992867165577, 1.0072019100111467)]","[(2.4275850688947855, 0.5156188462015258)]","[(2.6230711992402926, 0.6532158507194867)]","[(3.2001027523529304, 0.8242495241027298)]","[(2.5767077726635277, -0.908723046395139)]","[(3.281900659327904, 0.3643984662657437)]","[(3.0604927085152993, 0.859161361552338)]","[(2.8052221212185184, 0.49618590932598705)]","[(2.2566781062687173, 0.9506477813843583)]","[(2.516664485961963, 0.13871557076459845)]","[(2.378690885457294, 0.5432284510305732)]","[(3.3070420201616266, 0.6050574663355975)]","[(2.808647563509855, 1.1663939096691305)]","[(3.5673621057477902, -1.125833648351655)]","[(2.6346216842811825, 0.5238459097883111)]","(1.3230000000000004, 0.09799999999999986)",True,True,True,True,True,True,True,True,True,True
"(-3.327, -0.40200000000000014)","[(1.8173739104897415, 1.5935410991623882)]","[(1.6695013520413164, 1.1257891889529543)]","[(1.5510916157681371, 1.787794202788934)]","[(2.6891405558046917, 2.1382829955040554)]","[(2.430260024917529, 2.2991864018558195)]","[(2.0097568881704713, 2.343081128899215)]","[(1.9253204511555255, 1.9105034400526906)]","[(2.326068171316412, 1.1634946397261214)]","[(1.7877697210650283, 2.05807184585862)]","[(1.2471327958624379, 0.7469857258707151)]","[(1.8584107362324611, 1.6171872748683123)]","[(1.766847960628745, 2.3493143529830087)]","[(1.613892064262565, 1.5610576689387647)]","[(1.8535170025727825, 1.8872735875930278)]","[(1.5534960886864635, 1.3716132629913638)]","[(1.628782662005355, 2.2236888807624164)]","[(1.7616084569980812, 1.3856243893762912)]","[(2.0525808620526886, 1.550171181860628)]","[(1.759349959364088, 2.0304662231456225)]","[(2.770145757636983, 2.731511654602512)]","(3.473, 2.6479999999999997)",True,True,True,True,True,True,True,True,True,True
"(-0.827, -4.402)","[(2.1140944003466764, -3.557567212995015)]","[(1.9594419565639634, -4.27962875561088)]","[(1.7615772130866347, -3.9703630630811695)]","[(1.1562033922897228, -4.323883687633029)]","[(1.534054443550849, -3.319969576689685)]","[(2.0410085219288003, -2.6323056612224933)]","[(0.8426921827009232, -3.127653999383411)]","[(1.6649658566866314, -3.907269900252464)]","[(1.1468776149263706, -4.143901196509311)]","[(2.0447559321261632, -3.987319982523956)]","[(1.0174030720618248, -3.376417671077394)]","[(1.8206122191510414, -3.213617993043647)]","[(2.1852194593052023, -3.3262139931521317)]","[(1.2025505745016127, -4.2917317552503675)]","[(3.146481130684669, -3.6786471022346747)]","[(2.0219973542745966, -3.504322397209223)]","[(1.7856776554138296, -4.736762174074453)]","[(1.5772466426851077, -4.153663395016996)]","[(0.41993721680157425, -3.2484887846373653)]","[(2.4336837330209704, -4.233267855789665)]","(1.9730000000000008, -4.852)",False,False,False,False,False,False,False,False,False,False
