dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location
0.4990732340054117,10.030714285714286,0.29,"(-0.7655897719693072, -5.189126943840468)","(-0.5269999999999992, -4.952)",30.0,18723.1744,47.162437152478645,126.51333333333334,"(-2.4769999999999994, -5.0520000000000005)"
4.336529098055727,34.836486486486486,0.03581081081081081,"(2.142545285614105, 0.8718053939071738)","(3.7730000000000006, -3.552)",244.0,1170.6837333333333,273.05942317466406,41.406666666666666,"(2.673000000000001, 1.7480000000000002)"
7.564385134534809,92.9198275862069,0.0,"(-4.673552850870819, -3.995844040668095)","(2.2230000000000008, 2.298)",433.0,29458.56693333333,1627.8910838074378,264.0133333333333,"(-4.276999999999999, -2.802)"
4.571507485502086,23.460135135135136,0.0,"(1.2687744005561212, -2.093403500750976)","(4.423000000000001, 1.2480000000000002)",441.0,2743.157733333333,1674.3134148093775,994.6666666666664,"(2.2230000000000008, -1.1020000000000003)"
6.9123761786062135,24.22386363636364,0.002272727272727273,"(1.8444062097352991, -6.090878116619872)","(0.8730000000000002, 1.4980000000000002)",576.0,81721.33462222223,583.9426064543464,464.2466666666666,"(0.17300000000000093, -6.002000000000001)"
3.610349897531008,9.616438356164382,0.0,"(-0.8409474094903322, -4.000975563922419)","(0.6730000000000009, -5.502000000000001)",782.0,19321.799288888888,2331.091803211012,655.7,"(0.6730000000000009, -3.5020000000000002)"
2.485178455467488,19.54013605442177,0.014965986394557824,"(0.27966621770691713, 2.193735250581591)","(-2.727, 2.2479999999999993)",112.0,799.0336000000003,114.76906807483877,287.1533333333333,"(-0.9269999999999996, 1.4480000000000004)"
7.147991586671244,68.85480769230769,0.00576923076923077,"(-3.290287932624462, -5.835400873992806)","(-2.1769999999999996, 2.7479999999999993)",378.0,29091.53515555556,575.0975914596962,98.66,"(-2.6769999999999996, -4.902)"
6.319850842031093,9.220945945945944,0.0,"(0.9768371320378941, 0.6505408522244871)","(2.2230000000000008, -5.352)",362.0,2785.778888888889,1095.0731115960236,171.24,"(2.173000000000001, 0.4480000000000004)"
7.019540557570938,57.350694444444436,0.0013888888888888892,"(-2.505429976376856, 0.29347008761668936)","(4.723000000000002, 1.9979999999999993)",342.0,4997.039155555557,681.4207695838958,264.9066666666667,"(-0.827, 0.4980000000000002)"
