dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location
7.139489114051544,,,"(3.3506017840661175, 0.942183363716101)","(-1.3769999999999998, -4.852)",0.0,4472.7559555555545,1860.4132991989165,15.310234682642715,"(3.673000000000001, -0.2519999999999998)"
4.441592333644388,27.086666666666666,0.0,"(1.2687744005561212, -2.093403500750976)","(4.423000000000001, 1.2480000000000002)",399.0,12644.1364,1565.9021678798092,23.71559805283113,"(2.2230000000000008, -1.1020000000000003)"
7.913198782567202,19.873333333333328,0.0,"(0.6127145068584267, 1.3736835582610012)","(3.673000000000001, -5.702)",420.0,5877.225288888892,1225.6947377813642,9.873087774744596,"(0.3230000000000004, 0.24800000000000022)"
3.811350448080197,,,"(-0.31551056603955374, 2.909124283134574)","(-2.8269999999999995, 0.09799999999999986)",0.0,3959.847822222223,21.536614498182573,16.438366009886813,"(0.6730000000000009, 1.9979999999999993)"
1.255126007585574,28.96,0.08,"(0.35277492369418484, -0.4711993640419503)","(-1.2769999999999997, -0.15200000000000014)",101.0,3753.4898222222228,177.54794770361642,19.98418082003229,"(-0.6769999999999996, -1.2519999999999998)"
1.7155288447162858,14.92,0.86,"(-4.595758722957059, 2.0265387283274863)","(-2.4269999999999996, 1.6980000000000004)",20.0,1292.4872888888888,76.08746439347088,5.081660435524073,"(-2.9269999999999996, 1.6479999999999997)"
4.187812308239693,55.63333333333333,0.02,"(-1.8989605489037442, -0.4972224700229704)","(2.623, 2.1980000000000004)",276.0,5559.906666666668,700.6852236507584,14.122117234083055,"(-3.4269999999999996, -0.10200000000000031)"
3.377794923920232,160.58666666666667,0.43333333333333335,"(1.9503245364124493, 1.945524596267822)","(-3.327, -0.40200000000000014)",308.0,2419.185822222221,1209.4067881810483,13.668471951747206,"(3.473, 2.6479999999999997)"
4.024396207048564,23.37333333333333,0.0,"(1.8521220963517644, -4.353699218572755)","(3.673000000000001, -0.2519999999999998)",270.0,16296.399155555551,158.94825296507568,6.138597471881517,"(1.5730000000000004, -5.502000000000001)"
2.765303428679328,11.153333333333334,0.02,"(0.27966621770691713, 2.193735250581591)","(-2.727, 2.2479999999999993)",77.0,1090.5824,123.19288600045692,22.590808250504946,"(-0.9269999999999996, 1.4480000000000004)"
2.3715947160892665,34.56,0.13333333333333333,"(-1.9027514768308613, -5.919490403559002)","(-3.4269999999999996, -3.1020000000000003)",72.0,3610.725555555557,435.17355529131976,5.014849312954516,"(-2.877, -4.752000000000001)"
4.754874383110393,21.86666666666667,0.006666666666666667,"(0.4009797200096007, -4.876135406815293)","(-3.4769999999999994, -2.1020000000000003)",263.0,3143.201288888889,1314.8690734164024,16.357575295405844,"(-0.3769999999999998, -4.152)"
1.5614436115050032,34.833333333333336,0.5333333333333333,"(3.4424577830693925, -1.712231188754497)","(2.2730000000000006, -1.4020000000000001)",50.0,5715.0018222222225,128.17391344782692,5.0856433438112925,"(2.0730000000000004, -2.552)"
3.7145028654468746,256.74,0.4866666666666667,"(3.5738568929677963, 1.5865876187144325)","(1.673000000000001, -3.452)",0.0,7022.095155555556,1946.7379982296025,27.444040685102767,"(3.0230000000000006, 0.6479999999999997)"
1.6812044527692718,1.76,0.8533333333333334,"(-1.8851729975671456, -1.7278089623909225)","(-2.2269999999999994, -0.15200000000000014)",2.0,6535.380266666665,183.7077367633082,5.878827628219179,"(-2.2269999999999994, -0.15200000000000014)"
4.266187741861485,199.52,0.5266666666666666,"(2.8382922472180363, 0.6219991822806084)","(-4.127, -1.702)",351.0,13676.382933333332,810.1725519984989,10.510305326532759,"(1.3230000000000004, 0.09799999999999986)"
4.9050031918431465,143.31333333333333,0.19333333333333333,"(4.027565547967196, 0.6909240349618997)","(1.423000000000001, -3.202)",0.0,7291.6084,2137.5233120685307,25.250070389765906,"(3.123, -0.5519999999999996)"
6.308132461706905,70.38666666666667,0.0,"(-3.225726755593967, 0.5417028345099428)","(2.8230000000000004, -2.702)",457.0,2179.6730666666667,1863.614680077861,8.883883270652312,"(-1.8769999999999998, 1.548)"
3.9320294629749832,78.03333333333333,0.12666666666666668,"(2.608469481521216, -3.576736901025801)","(1.4730000000000008, 1.548)",335.0,3190.0229333333336,753.6620828262891,4.3845786594263725,"(3.5230000000000006, -5.252000000000001)"
3.7999514799234486,30.85333333333333,0.07333333333333332,"(-0.8431186337278354, -6.003806492975875)","(-0.5269999999999992, -1.5019999999999998)",110.0,44774.137955555554,138.0031700748331,27.512414030596336,"(-1.0769999999999995, -4.052)"
6.484914123927143,13.713333333333333,0.0,"(1.6366035535691699, -3.695696175128417)","(2.5730000000000004, 2.798)",288.0,7398.489288888889,678.9962237373758,6.38775630293518,"(3.0730000000000004, -3.552)"
7.541298819514218,67.34,0.0,"(-3.290287932624462, -5.835400873992806)","(-2.1769999999999996, 2.7479999999999993)",349.0,26322.392222222217,799.2207146695761,3.7606658233261054,"(-2.6769999999999996, -4.902)"
3.896286118831081,51.16666666666666,0.1,"(-1.5548373471467785, -0.8780400668158768)","(-1.5269999999999997, -5.752000000000001)",188.0,3804.6451555555573,1347.2602559406116,24.332821706884122,"(-2.877, -1.952)"
4.4385224555680685,39.56666666666667,0.02,"(-2.6142241550637246, -4.92629785375919)","(-3.2269999999999994, -0.0519999999999996)",221.0,464.4676,961.8775333733599,3.966438081360904,"(-2.9269999999999996, -3.5020000000000002)"
5.244944126805524,243.94,0.5466666666666666,"(4.610239745294135, -5.085444728202473)","(4.223, 1.9480000000000004)",422.0,37398.40555555556,1297.1141640227381,6.463579679981563,"(2.7730000000000006, -4.852)"
9.343121657614137,43.473333333333336,0.0,"(-3.48418615109453, -4.242127237182371)","(4.423000000000001, -0.8520000000000003)",639.0,7743.934933333332,2187.87248656044,7.293723589152119,"(-2.0269999999999997, -3.9520000000000004)"
3.262905861848272,36.293333333333344,0.02,"(-0.9347933413817016, 0.4616628366310378)","(2.3230000000000004, 0.29800000000000004)",314.0,5761.9397333333345,770.8942412621542,18.718591189025467,"(-1.9769999999999994, -0.0019999999999997797)"
3.199436604600116,13.46,0.0,"(0.933025768672465, 0.8142348913834949)","(4.023000000000001, -1.0519999999999996)",241.0,940.3122222222224,1399.7801697880163,7.417646539234238,"(0.42300000000000093, 1.9480000000000004)"
2.49663507282321,39.66,0.07333333333333332,"(2.3373453757153713, -0.7614909670120606)","(2.873, -3.452)",238.0,37282.82506666666,1441.4950447178048,15.548109549577825,"(2.873, 0.34799999999999986)"
5.345954097767175,80.93333333333334,0.07333333333333332,"(-1.8265497963815467, 2.1938956323356225)","(3.923000000000001, 0.3979999999999997)",296.0,2472.156488888889,1476.446588390427,18.6453472041518,"(-1.5269999999999997, 1.048)"
5.851244635362103,343.91333333333336,0.9533333333333334,"(4.580667672674808, -3.4831553117066587)","(-3.627, 0.798)",539.0,40611.665288888886,2336.863913282062,9.67795168248083,"(4.473, -5.202)"
6.2944338280192005,55.13333333333333,0.013333333333333334,"(-2.942555154234705, -5.296129709251616)","(-3.4769999999999994, 2.3979999999999997)",260.0,2245.847155555555,1119.0222243572903,3.4563661387011004,"(-3.5269999999999997, -4.152)"
3.6708943504316136,22.83333333333333,0.0,"(0.9958076269908036, -2.7004203948082037)","(4.623, -1.3019999999999996)",475.0,16596.738888888893,1354.566492814101,22.86462725812677,"(0.0730000000000004, -1.5019999999999998)"
6.242026239785213,15.313333333333333,0.006666666666666667,"(0.9768371320378941, 0.6505408522244871)","(2.2230000000000008, -5.352)",326.0,6491.47382222222,1274.4690901321014,5.852344681524332,"(2.173000000000001, 0.4480000000000004)"
8.450041200324423,55.76666666666666,0.006666666666666667,"(-2.505429976376856, 0.29347008761668936)","(4.723000000000002, 1.9979999999999993)",370.0,4399.622222222221,830.7399106784775,8.235699773819258,"(-0.827, 0.4980000000000002)"
2.1253491216588443,13.966666666666667,0.013333333333333334,"(-0.5716917826876573, -4.260183885210291)","(0.6730000000000009, -2.2520000000000002)",158.0,788.2862666666666,539.8562550431919,53.16446905071066,"(-1.7269999999999994, -4.752000000000001)"
2.5060814585036573,367.50666666666666,0.8733333333333333,"(4.611558935251819, 2.0372650945212576)","(-0.7769999999999992, -1.4020000000000001)",471.0,33399.73048888889,1339.963492796822,9.655781523017644,"(4.673000000000001, 0.3979999999999997)"
4.870398527240089,20.006666666666668,0.0,"(-1.2840031567556383, -2.972167253748482)","(2.623, -5.002000000000001)",781.0,7160.52,2267.180311605597,10.123367467162927,"(-0.7269999999999994, -4.402)"
1.4343876743803865,87.28,0.6866666666666666,"(-2.3589034886473046, 2.432364112004513)","(-2.1769999999999996, -0.3019999999999996)",120.0,1033.6889333333334,248.7645230166493,4.829321837235506,"(-3.4269999999999996, 2.3979999999999997)"
5.9467997830217145,62.16666666666666,0.06,"(-1.4318839243293902, 0.8862268348749783)","(2.2230000000000008, -3.7520000000000002)",467.0,10417.23062222222,1697.1731827825854,8.462110793779651,"(-0.4269999999999996, 1.4980000000000002)"
7.331674987570995,18.906666666666666,0.0,"(-1.0262712733946164, 1.6783355277946603)","(-2.6769999999999996, -5.202)",402.0,1597.2570666666666,491.64032111546754,14.381071636484007,"(-0.7769999999999992, -0.3019999999999996)"
6.202372516635733,24.70666666666667,0.0,"(-2.045752087363167, -3.5905663061229007)","(1.0730000000000004, 1.8479999999999999)",516.0,5195.718266666667,1274.4450345574076,11.027136368586852,"(-2.3269999999999995, -5.502000000000001)"
3.771259872806752,124.62666666666668,0.36,"(3.0353756493662916, -2.5819242857622235)","(-2.2269999999999994, -5.352)",0.0,4444.13888888889,1491.8191104086272,31.20301452484491,"(2.173000000000001, -1.4020000000000001)"
3.5772884293491507,64.22,0.21333333333333326,"(-2.6468512220637583, -3.845381210467317)","(2.2230000000000008, -3.302)",150.0,5212.5044,1268.963134006062,24.62848499535653,"(-1.0769999999999995, -4.702)"
5.284118363901435,23.22,0.0,"(-0.49441225495778207, -0.6633394388003053)","(1.173000000000001, -5.0520000000000005)",571.0,37792.811599999986,1988.485143745334,12.16741257370728,"(0.17300000000000093, 0.6479999999999997)"
6.057219358577234,9.033333333333333,0.0,"(0.25258133055883736, -4.5263157043842925)","(-1.0269999999999997, 1.298)",380.0,3588.293333333333,982.7491837920606,19.63081792122706,"(1.5730000000000004, -4.752000000000001)"
4.2735222332554255,62.15333333333334,0.07333333333333332,"(1.449020239769085, -1.945102422114977)","(0.6730000000000009, 2.7479999999999993)",346.0,6345.102222222222,1332.0582164941468,33.50964882353466,"(2.673000000000001, -2.152)"
8.010276425324816,76.79333333333334,0.0,"(-4.673552850870819, -3.995844040668095)","(2.2230000000000008, 2.298)",378.0,29878.168888888893,1546.9247107438016,8.280075448259527,"(-4.276999999999999, -2.802)"
1.3112416649401624,26.87333333333333,0.18,"(1.209671339386595, -3.3671538260535785)","(0.8730000000000002, -2.1020000000000003)",0.0,1260.1678222222222,200.098202481822,52.82932668561525,"(2.4730000000000008, -2.8520000000000003)"
1.7070689500817882,19.346666666666668,0.013333333333333334,"(0.707538432708857, 1.0684580460955746)","(-1.0269999999999997, 2.048)",130.0,829.8,352.7220980306769,32.71038701472374,"(2.0230000000000006, 2.4979999999999993)"
