fake,goal,real,picked
"(25.398710512771537, 3.2957331766000633)","(-2.0500000000000007, 13.100000000000001)","(26.800000000000004, 2.3500000000000014)",True
"(5.825824923365979, -17.58311402441679)","(-1.6999999999999993, 22.1)","(4.700000000000003, -16.5)",True
"(16.66312454138993, -14.46663245609594)","(12.350000000000001, 3.3000000000000043)","(16.700000000000003, -16.349999999999998)",True
"(-2.3511056871954104, 2.455955587064305)","(-13.149999999999999, 14.150000000000006)","(-0.8499999999999979, 3.1000000000000014)",True
"(18.757958289519767, -1.775952858599532)","(-7.549999999999999, 9.650000000000002)","(16.85, -2.299999999999997)",True
"(12.781845335601131, 14.422087145641095)","(-12.899999999999999, -2.6999999999999993)","(12.25, 15.350000000000001)",True
"(-8.973666227186825, 22.662983723410903)","(6.100000000000001, 22.200000000000003)","(-10.549999999999999, 21.500000000000007)",True
"(7.691991336023643, -17.902413651047933)","(22.200000000000003, -4.899999999999999)","(7.75, -16.9)",True
"(-9.24187652787457, -7.232559546241753)","(-2.9499999999999993, -9.899999999999999)","(-10.25, -7.249999999999998)",True
"(9.909929810241273, 16.362927953818797)","(-17.85, -5.899999999999999)","(9.100000000000001, 15.300000000000004)",True
"(-15.297713910833538, 4.104619241963132)","(-9.1, 19.200000000000003)","(-16.25, 3.400000000000002)",True
"(15.58492174071278, -6.860049673211095)","(-8.2, 10.200000000000003)","(15.700000000000003, -5.599999999999998)",True
"(32.622647240749025, -12.633967632618102)","(-18.3, 6.300000000000004)","(31.550000000000004, -11.399999999999999)",True
"(7.304287935898352, 14.261063545924815)","(10.850000000000001, 7.400000000000002)","(8.100000000000001, 15.350000000000001)",True
"(12.007876680317391, 12.354513571331589)","(-7.5, 17.85)","(11.100000000000001, 13.0)",True
"(-12.662023855666494, 9.969961399306106)","(28.1, -14.549999999999997)","(-12.1, 8.600000000000001)",True
"(24.818559834323967, 3.812200782402761)","(11.850000000000001, -4.999999999999998)","(23.700000000000003, 2.3000000000000043)",True
"(9.042812753318337, 5.4655667246754405)","(-14.05, -4.449999999999999)","(7.25, 6.350000000000001)",True
"(15.459528096375267, 22.122521550398393)","(34.050000000000004, -9.549999999999997)","(15.700000000000003, 20.300000000000004)",True
"(2.7548784747802113, 16.130302903750216)","(6.400000000000002, -10.099999999999998)","(2.6000000000000014, 18.1)",True
"(21.08690772965414, 9.665549038731289)","(18.35, 8.450000000000003)","(22.0, 8.250000000000004)",True
"(-12.267777095994317, 3.8260751493282212)","(-4.0, -14.749999999999998)","(-10.9, 4.850000000000001)",True
"(4.3558529965838995, -18.74148155522373)","(24.200000000000003, 15.600000000000001)","(2.950000000000003, -18.299999999999997)",True
"(5.324465706081305, -17.2925678267234)","(-8.899999999999999, -4.799999999999997)","(3.8500000000000014, -16.599999999999998)",True
"(1.4093006876682543, 2.964146889271909)","(-2.3000000000000007, 14.650000000000006)","(0.40000000000000213, 3.700000000000003)",True
"(7.956331869007844, -1.8325144265874933)","(-11.15, -9.599999999999998)","(9.3, -0.6499999999999986)",True
"(8.898349744933762, -7.555311713567188)","(17.550000000000004, 15.150000000000006)","(9.850000000000001, -8.799999999999997)",True
"(10.681051669915384, -7.630415275453955)","(-2.1499999999999986, 20.450000000000003)","(9.5, -7.4499999999999975)",True
"(14.643445889245955, 12.061241549184615)","(18.15, -11.049999999999997)","(14.550000000000004, 10.900000000000002)",True
"(-7.8570216942350255, 5.3734514452743305)","(8.700000000000003, -2.3999999999999986)","(-9.149999999999999, 4.7500000000000036)",True
"(15.0223093895011, 21.301389258538727)","(5.25, 21.650000000000006)","(14.149999999999999, 22.550000000000004)",True
"(16.70263144867305, -0.9971611498702906)","(-9.799999999999999, -16.95)","(16.5, -2.349999999999998)",True
"(0.6684973740899639, 21.3871420675426)","(26.950000000000003, -3.049999999999997)","(1.4000000000000021, 22.6)",True
"(7.26790835483387, -10.162612303851688)","(8.0, 7.0000000000000036)","(8.3, -10.099999999999998)",True
"(20.486054842590264, -15.56799239323147)","(-4.199999999999999, -16.299999999999997)","(19.35, -16.75)",True
"(-7.944157811868853, -2.9594253798872594)","(1.75, -19.049999999999997)","(-6.85, -2.599999999999998)",True
"(21.34024487860233, 4.409901755883387)","(13.399999999999999, 2.5500000000000043)","(19.75, 3.6000000000000014)",True
"(9.57872873326391, 21.955963143836097)","(-0.6499999999999986, 4.100000000000001)","(9.450000000000003, 20.800000000000004)",True
"(23.28668910583811, 9.716560029664679)","(1.0, 12.0)","(21.650000000000006, 9.250000000000004)",True
"(2.275771337793409, 1.0282467913269744)","(1.5, 17.450000000000003)","(1.6500000000000021, 2.7500000000000036)",True
"(8.39048210163756, -13.82989131645264)","(9.55, 5.950000000000003)","(7.150000000000002, -13.549999999999997)",True
