goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location
"(-4.0, -14.749999999999998)","[(-12.956314169634856, 4.331558866578271)]","[(-12.878923981739936, 4.232939959775373)]","[(-12.592233772624414, 3.811759117133514)]","[(-12.519729931356514, 4.3901304165906225)]","[(-12.504254930465, 4.3940124316605935)]","[(-12.546910618771753, 3.452125849860314)]","[(-11.484613427066295, 2.914789946927726)]","[(-11.813174406458103, 3.5869999997585302)]","[(-12.51576815812471, 3.4710951852456366)]","[(-12.213389235481316, 4.138246431759566)]","[(-12.762260856694626, 4.848831139251066)]","[(-12.375496429570259, 4.0471032536400635)]","[(-12.305727968014539, 3.7591725405757948)]","[(-12.439315545534402, 3.794354587831968)]","[(-12.863905362660594, 3.661265698930083)]","[(-12.266481648553418, 3.337243478536764)]","[(-12.488482088282394, 4.568021619863317)]","[(-11.381230948366824, 4.2266802048614025)]","[(-11.753007300479712, 3.909565391348028)]","[(-12.511051587332549, 3.542944652223217)]","(-10.9, 4.850000000000001)"
"(-8.2, 10.200000000000003)","[(15.48175410817084, -6.451514207458269)]","[(15.475478161584098, -6.261435208375401)]","[(15.586030382932636, -6.43968249439195)]","[(16.074656222797916, -6.230096035732888)]","[(15.393520173917862, -6.931343498781543)]","[(15.314729405654235, -7.563063505375963)]","[(16.16033258748456, -7.159848946747987)]","[(15.739401497082623, -6.419330024152487)]","[(16.23420023485153, -6.535187399098272)]","[(15.781866090241937, -6.361437240195516)]","[(15.32637825704715, -6.7761735381771)]","[(15.548820711800241, -6.870281576463053)]","[(16.139562486194542, -6.862882109013945)]","[(15.644364891683118, -7.162563743653207)]","[(15.422580079983826, -6.9640484831038965)]","[(15.685387418486618, -7.090414811138463)]","[(15.312762349043101, -6.399999232211584)]","[(15.746235983016886, -6.26677925852061)]","[(15.539630527585189, -6.228859261589029)]","[(15.495287447159244, -7.38860985209748)]","(15.700000000000003, -5.599999999999998)"
"(2.650000000000002, 12.850000000000001)","[(9.52048385447432, 11.48119286294774)]","[(9.366124670226732, 10.792543347102109)]","[(8.728503326016275, 10.991558390013871)]","[(8.278129133655707, 11.029535827018352)]","[(8.501917081221109, 11.27079039138955)]","[(8.690087475756334, 10.744393458988679)]","[(8.7163374755444, 10.78451391551132)]","[(8.756275505641916, 11.329094427639443)]","[(8.46377996077576, 11.440043670049723)]","[(9.231010650505077, 11.771954227412868)]","[(8.311788925612905, 11.55524059125516)]","[(8.386218031297583, 11.120735840314453)]","[(9.587814334604289, 11.155879922564159)]","[(9.308190219770907, 11.151243352099936)]","[(8.1357601685223, 11.300151738309376)]","[(9.657181143607037, 11.387893697457422)]","[(8.259368771631703, 12.255005914733136)]","[(8.98342739363844, 11.286294911811067)]","[(8.878074434172367, 10.629177402771024)]","[(8.515655197869155, 11.16980672878)]","(7.0, 11.400000000000006)"
"(-14.05, -4.449999999999999)","[(9.353504238083886, 6.020786074533325)]","[(8.744744926162666, 5.593499286775721)]","[(8.706380281172565, 5.081099797348765)]","[(9.094510262497518, 6.285095215112564)]","[(8.584368911376862, 5.343807934088424)]","[(8.646383886830542, 4.850269986931776)]","[(8.171843634892536, 4.818837406511001)]","[(8.406701315228556, 4.8527855815454695)]","[(9.58324912019975, 5.721312914613766)]","[(9.119089146497366, 4.729643292435123)]","[(8.88941224869208, 5.452992919803993)]","[(9.212000175707086, 5.648155582294119)]","[(9.148331729679986, 5.172284306151069)]","[(9.686775008215902, 5.306263362142178)]","[(8.550354937501789, 4.873453531120702)]","[(8.542635541462737, 5.26016740371741)]","[(8.507573393499385, 5.624412847013357)]","[(7.96848154909964, 5.383141618209637)]","[(9.142853014478236, 4.218252524422805)]","[(9.37935555482176, 5.865485282314872)]","(7.25, 6.350000000000001)"
"(18.15, -11.049999999999997)","[(14.294699689930324, 12.157365984422553)]","[(14.610794538075625, 11.733619770616967)]","[(14.452146003108314, 11.81601475036524)]","[(15.121622840521294, 12.106513224837764)]","[(14.337330696751312, 12.603084826648825)]","[(14.692476828794897, 11.592631405042793)]","[(14.684983031818938, 11.762525945824812)]","[(14.051478880062305, 12.127459928784182)]","[(14.948341735346588, 12.136801383105425)]","[(14.739996510035663, 12.099614504662286)]","[(14.383413395386842, 12.299488727337025)]","[(14.908903239027383, 12.587317541567288)]","[(14.528129438190817, 11.755691013339202)]","[(15.285449584997851, 13.20159449419718)]","[(14.774806159349458, 12.083092616245834)]","[(15.06908662072938, 11.782702056737149)]","[(15.204133586762955, 11.64320543890951)]","[(14.721652097379057, 11.448358747101846)]","[(15.197792006025756, 12.177635980428683)]","[(14.956735005066827, 12.2521110031438)]","(14.550000000000004, 10.900000000000002)"
"(10.200000000000003, -11.449999999999998)","[(18.821892753197496, 17.45477882711149)]","[(18.786727034589724, 16.483994439786972)]","[(19.193383894659597, 16.441975303682472)]","[(19.13437812522665, 16.86221130825688)]","[(19.016131946141105, 17.285121317017023)]","[(18.38999563689796, 16.837214470761875)]","[(19.217942974957246, 15.861698090082035)]","[(19.924021064857737, 17.650499771082487)]","[(19.351407935446215, 16.970460148947083)]","[(19.23647685958874, 16.942148177108926)]","[(18.409852515346973, 16.185166699867096)]","[(18.943896766056934, 16.973183810405335)]","[(18.75090680366204, 16.766738225201248)]","[(18.191211501539563, 17.307125318489895)]","[(19.468141105495384, 16.798678899068054)]","[(19.04482794456585, 17.316109262735033)]","[(18.96690378552155, 16.639484140845543)]","[(19.461439282144795, 16.997496173742533)]","[(19.914470857966975, 16.716239480545173)]","[(18.83641586223673, 16.172912566808197)]","(18.050000000000004, 15.300000000000004)"
"(-0.4499999999999993, 0.9500000000000028)","[(-7.571251756507733, 9.365329975181018)]","[(-6.523572890601226, 9.394890094213679)]","[(-7.067036547113947, 9.916894405857429)]","[(-7.3509158250148925, 9.427411465303003)]","[(-6.924077202640475, 10.099264499966372)]","[(-7.913796671737079, 9.904372927124573)]","[(-7.807779306337961, 9.539934958101245)]","[(-7.6139081415336065, 10.612226510420232)]","[(-8.542661718998874, 8.935988741790254)]","[(-7.440012046870777, 10.184176390816708)]","[(-6.905622913580545, 10.088058452329667)]","[(-7.644455943559564, 9.865582395948415)]","[(-6.700835330679806, 9.907124645218175)]","[(-7.0155780008000415, 10.735164081114993)]","[(-7.198828165217863, 9.118775460767955)]","[(-7.062628754892117, 9.720754953154655)]","[(-7.996951535669058, 8.862977484377417)]","[(-6.777111710135132, 10.377591719031729)]","[(-6.645464415360093, 8.934997807053046)]","[(-7.625211907861225, 9.53673821118864)]","(-8.549999999999999, 8.100000000000001)"
"(-8.1, -2.549999999999997)","[(30.554017208797134, -9.478421469972886)]","[(30.795134692397458, -9.834572416270857)]","[(31.05674062022177, -9.170237550749418)]","[(30.06680491651313, -9.698407271418398)]","[(30.767419769285866, -9.746964361012848)]","[(30.90732369625975, -9.532976355153169)]","[(30.418029755335002, -10.872976488749016)]","[(30.983257960309743, -10.342191163417189)]","[(30.246436476995154, -9.792514374595335)]","[(30.6159817420406, -9.804689695275968)]","[(30.934187436230463, -10.70365193256599)]","[(29.771366141212553, -10.598977390146546)]","[(30.517837354199965, -10.463603273637506)]","[(31.877403834059063, -10.264732930896193)]","[(30.288501246930913, -10.592312246362363)]","[(30.456723214998764, -9.979874684662198)]","[(31.11318083407061, -10.598812357367168)]","[(30.38163831885373, -9.851055683810408)]","[(31.53250530488845, -10.086240198147669)]","[(30.84083727635777, -9.694645927050669)]","(28.650000000000006, -9.899999999999999)"
"(1.0, 12.0)","[(23.781893649421278, 8.920951183439342)]","[(22.922758087938707, 8.72198886973963)]","[(22.947459396382676, 8.967656103821525)]","[(23.533781797355843, 9.05959256682811)]","[(22.922758087938707, 8.72198886973963)]","[(23.932311914229395, 8.363150006526686)]","[(23.29627996405405, 9.068768503782422)]","[(23.143057043847215, 8.4156348866482)]","[(23.946834287109194, 11.100298316235886)]","[(23.434816220839636, 8.83489284957665)]","[(22.55212001664513, 10.739689708022357)]","[(22.65081054446481, 10.470994132120007)]","[(23.476833202919753, 10.766205824403107)]","[(23.248738233785463, 9.649657420905795)]","[(23.223721132246357, 8.84423196243946)]","[(22.702660647595756, 10.481608700840955)]","[(24.020052072179933, 8.716854526229527)]","[(23.336644940256896, 8.965243828034012)]","[(23.640696761976614, 9.69287678649041)]","[(23.906438560696436, 10.765904443208708)]","(21.650000000000006, 9.250000000000004)"
"(1.25, -12.899999999999999)","[(-7.17060414291501, -13.07511389161409)]","[(-7.464730515337431, -13.68393802047626)]","[(-6.1350085376068035, -12.983707057780983)]","[(-7.164511111387914, -13.177454324842197)]","[(-7.206862111746209, -13.735627791929403)]","[(-6.615505811026857, -11.8601170262028)]","[(-7.480696179044349, -13.083040756156159)]","[(-7.633908134287463, -13.693483148969)]","[(-7.3802235925958355, -13.539764895084101)]","[(-6.5691724955895205, -12.017085998539175)]","[(-6.388165736811598, -12.141726018966855)]","[(-7.017994934845201, -13.079368232678542)]","[(-6.33940194164247, -12.759452412479122)]","[(-7.547502495722966, -12.946855874734046)]","[(-6.693497004133116, -13.249875603498733)]","[(-7.304107556521532, -13.0071394103699)]","[(-6.932521092816686, -12.8918722875111)]","[(-6.8808591617261605, -13.015457547829431)]","[(-6.691152034902892, -12.01846322777877)]","[(-7.409609450545971, -13.814790831337024)]","(-7.1, -14.499999999999998)"
