did_it_really_arrived_oracle,did_it_really_arrived_without-oracle,execute_time_oracle,execute_time_without-oracle,expremint_index,fake_location,final_location_oracle,final_location_without-oracle,goal_location,metric-0,metric-1,metric-2,metric-3,move_base_status_finish_oracle,move_base_status_finish_without-oracle,real_location,did_it_really_arrived_without_oracle,execute_time_without_oracle,final_location_without_oracle,move_base_status_finish_without_oracle
True,0.0,160.36342000961304,352.9412961006165,0.0,"(-6.949236290103872, -8.459751405549376)","(3.063028011515215, 1.9584680663509135)","(-8.744181008160536, 5.747169325693857)","(3.1000000000000014, 1.950000000000001)",639.0,621.99,8.627225906714607,1154.57,False,1.0,"(-5.8, -8.95)",,,,
False,0.0,604.6595551967622,8.597909212112429,1.0,"(-4.629510802567311, 3.881353040560415)","(-6.480483517226199, 7.061207997479383)","(-5.150019535428356, 6.250001660990511)","(7.25, -9.35)",803.0,802.26,28.769594333054123,712.11,False,0.0,"(-5.1499999999999995, 6.25)",,,,
False,0.0,371.81677293777466,337.3852970600128,0.0,"(-4.426183817274364, -0.31318041642018857)","(-0.14305969570417837, 0.4477570983496547)","(5.2863481732921525, 8.030420640525298)","(1.5500000000000007, 7.050000000000001)",590.0,709.9,9.959596605764498,310.14,True,0.0,"(-3.4499999999999993, 2.4000000000000004)",,,,
True,0.0,191.55258798599243,8.876402139663695,1.0,"(-9.124705957157705, 6.80516149309987)","(8.091003553164844, 3.646623423008073)","(-8.20001957766303, 8.20000190976434)","(7.850000000000001, 3.200000000000001)",839.0,813.62,7.710603180812835,571.17,False,0.0,"(-8.2, 8.2)",,,,
False,0.0,315.86489295959467,306.8873460292816,0.0,"(-2.8030066505562896, -4.8078981939730845)","(-12.260325930259324, 0.2499841013241521)","(-2.1404204797166146, -1.0439507740666525)","(-6.85, 3.3500000000000014)",616.0,665.62,7.917621921425984,455.46,False,0.0,"(-3.0999999999999996, -7.15)",,,,
True,0.0,315.52851915359486,7.934946060180664,1.0,"(-1.0614697822084262, -8.334397720901972)","(3.9243121705048605, 4.996043892784016)","(-0.11636949502785439, -7.698709088386797)","(4.200000000000001, 4.950000000000001)",618.0,618.7,17.992978872340416,1454.56,False,0.0,"(-0.14999999999999858, -7.699999999999999)",,,,
False,0.0,205.58843398094174,203.6116840839386,0.0,"(-7.237300036084115, 7.390051428487822)","(1.92182269001174, -7.898078522439473)","(-1.4192100838873423, -9.365029419210382)","(2.4000000000000004, -5.6)",962.0,921.18,24.426899406231108,1333.15,False,0.0,"(-8.65, 5.200000000000001)",,,,
True,0.0,135.3307249546051,7.230902910232544,1.0,"(-8.230775455746574, 7.774359935536163)","(-10.069328882316345, -5.032514451552225)","(-8.100019541948317, 6.750001699395207)","(-9.7, -5.199999999999999)",527.0,501.71,7.418851811024884,0.02,False,0.0,"(-8.1, 6.75)",,,,
True,0.0,124.57554006576538,117.98055005073549,0.0,"(3.7233826666752643, 5.45538839956531)","(9.258411206133301, -2.3066397896431012)","(9.360952873646871, -0.627906846347107)","(9.05, -2.6999999999999993)",556.0,515.09,13.685055135530822,142.82,False,0.0,"(3.200000000000001, 7.050000000000001)",,,,
False,0.0,101.87763500213623,91.314190864563,0.0,"(4.7757718693529245, 1.2251064950838053)","(3.4723535716851077, 3.745986906119696)","(3.371728251785309, 3.587959244837695)","(-3.55, 3.700000000000001)",470.0,470.58,14.705088765348911,882.84,True,1.0,"(5.050000000000001, 3.9000000000000004)",,,,
False,0.0,294.5167121887207,178.39807105064392,0.0,"(6.707629733532268, 0.547471355590428)","(7.858082727010378, -3.0349955397383304)","(8.402952627093736, -1.0581330369186603)","(8.3, -3.5)",768.0,759.36,24.44662822244895,991.19,True,1.0,"(8.0, -1.75)",,,,
False,0.0,86.11400508880615,71.43634295463563,0.0,"(3.5334151905300586, 7.405418149409668)","(4.302318086690815, 6.2506745036895275)","(4.294755958627685, 6.246142346319242)","(-7.199999999999999, -2.1499999999999995)",825.0,827.8,18.860680393552727,1225.64,True,1.0,"(4.300000000000001, 6.25)",,,,
False,0.0,75.28720808029175,70.18060111999512,0.0,"(-1.1879364509946764, -11.608393963132002)","(-0.9459265184275876, -8.848754939741518)","(-0.9470428734252538, -8.849352363041119)","(-1.4499999999999993, -4.75)",0.0,0.0,0.0,0.0,True,1.0,"(-0.9499999999999993, -8.85)",,,,
False,0.0,41.71655917167664,32.82401704788208,0.0,"(-6.6201755805039575, -5.790420021351317)","(-6.011432352829971, -8.576828099085034)","(-5.8943357483470695, -8.148721634991695)","(-4.8999999999999995, -7.9)",119.0,109.07,1.9213776294096023,0.0,False,0.0,"(-7.85, -6.55)",,,,
False,0.0,79.47392892837523,74.02147603034973,0.0,"(-10.640281107945642, -8.105011947963902)","(-9.006483457843599, -6.705457545727002)","(-9.006357633749417, -6.705370738432684)","(5.100000000000001, 7.400000000000002)",0.0,55.23,0.038828216907050864,65.56,True,1.0,"(-9.0, -6.699999999999999)",,,,
